id,symbol,name
bitcoin,btc,Bitcoin
ethereum,eth,Ethereum
binancecoin,bnb,Binance Coin
tether,usdt,Tether
solana,sol,Solana
usd-coin,usdc,USD Coin
cardano,ada,Cardano
ripple,xrp,XRP
avalanche-2,AVAX,Avalanche
terra-luna,luna,Terra
polkadot,dot,Polkadot
dogecoin,doge,Dogecoin
shiba-inu,shib,Shiba Inu
matic-network,matic,Polygon
binance-usd,busd,Binance USD
crypto-com-chain,cro,Crypto.com Coin
wrapped-bitcoin,wbtc,Wrapped Bitcoin
litecoin,ltc,Litecoin
chainlink,link,Chainlink
dai,dai,Dai
terrausd,ust,TerraUSD
algorand,algo,Algorand
tron,trx,TRON
bitcoin-cash,bch,Bitcoin Cash
okb,okb,OKB
uniswap,uni,Uniswap
axie-infinity,axs,Axie Infinity
stellar,xlm,Stellar
staked-ether,steth,Lido Staked Ether
cosmos,atom,Cosmos
compound-ether,ceth,cETH
ftx-token,ftt,FTX Token
vechain,vet,VeChain
hedera-hashgraph,hbar,Hedera
elrond-erd-2,egld,Elrond
filecoin,fil,Filecoin
near,near,Near
the-sandbox,sand,The Sandbox
ethereum-classic,etc,Ethereum Classic
decentraland,mana,Decentraland
internet-computer,icp,Internet Computer
cdai,cdai,cDAI
theta-token,theta,Theta Network
magic-internet-money,mim,Magic Internet Money
fantom,ftm,Fantom
tezos,xtz,Tezos
compound-usd-coin,cusdc,cUSDC
gala,gala,Gala
leo-token,leo,LEO Token
helium,hnt,Helium
monero,xmr,Monero
klay-token,klay,Klaytn
eos,eos,EOS
the-graph,grt,The Graph
pancakeswap-token,cake,PancakeSwap
iota,miota,IOTA
flow,flow,Flow
arweave,ar,Arweave
aave,aave,Aave
loopring,lrc,Loopring
kusama,ksm,Kusama
radix,xrd,Radix
bittorrent-2,btt,BitTorrent
quant-network,qnt,Quant
harmony,one,Harmony
bitcoin-cash-sv,bsv,Bitcoin SV
amp-token,amp,Amp
blockstack,stx,Stacks
enjincoin,enj,Enjin Coin
maker,mkr,Maker
ecash,xec,eCash
bitcoin-cash-abc-2,bcha,Bitcoin Cash ABC
olympus,ohm,Olympus
zcash,zec,Zcash
thorchain,rune,THORChain
theta-fuel,tfuel,Theta Fuel
huobi-btc,hbtc,Huobi BTC
kadena,kda,Kadena
neo,neo,NEO
basic-attention-token,bat,Basic Attention Token
waves,waves,Waves
curve-dao-token,crv,Curve DAO Token
kucoin-shares,kcs,KuCoin Token
celsius-degree-token,cel,Celsius Network
huobi-token,ht,Huobi Token
ecomi,omi,ECOMI
celo,celo,Celo
frax,frax,Frax
chiliz,chz,Chiliz
convex-finance,cvx,Convex Finance
dash,dash,Dash
link,ln,LINK
holotoken,hot,Holo
true-usd,tusd,TrueUSD
msol,msol,Marinade staked SOL
spell-token,spell,Spell Token
compound-governance-token,comp,Compound
nexo,nexo,NEXO
nem,xem,NEM
paxos-standard,usdp,Pax Dollar
yearn-finance,yfi,yearn.finance
iotex,iotx,IoTeX
sushi,sushi,Sushi
1inch,1inch,1inch
mina-protocol,mina,Mina Protocol
osmosis,osmo,Osmosis
xdce-crowd-sale,xdc,XDC Network
e-radix,exrd,e-Radix
havven,snx,Synthetix Network Token
bitclout,deso,Decentralized Social
qtum,qtum,Qtum
bitkub-coin,kub,Bitkub Coin
ethereum-name-service,ens,Ethereum Name Service
oasis-network,rose,Oasis Network
gatechain-token,gt,GateToken
nxm,nxm,Nexus Mutual
wax,waxp,WAX
livepeer,lpt,Livepeer
compound-usdt,cusdt,cUSDT
immutable-x,imx,Immutable X
decred,dcr,Decred
omisego,omg,OMG Network
safemoon,safemoon,SafeMoon
ravencoin,rvn,Ravencoin
ankr,ankr,Ankr
metahero,hero,Metahero
liquity-usd,lusd,Liquity USD
icon,icx,ICON
gnosis,gno,Gnosis
zilliqa,zil,Zilliqa
rally-2,rly,Rally
zencash,zen,Horizen
renbtc,renbtc,renBTC
siacoin,sc,Siacoin
telcoin,tel,Telcoin
ufo-gaming,ufo,UFO Gaming
bancor,bnt,Bancor Network Token
fei-usd,fei,Fei USD
rocket-pool,rpl,Rocket Pool
audius,audio,Audius
illuvium,ilv,Illuvium
bitcoin-gold,btg,Bitcoin Gold
wonderland,time,Wonderland
constitutiondao,people,ConstitutionDAO
render-token,rndr,Render Token
iostoken,iost,IOST
0x,zrx,0x
convex-crv,cvxcrv,Convex CRV
oec-token,okt,OEC Token
woo-network,woo,WOO Network
anchor-protocol,anc,Anchor Protocol
dogelon-mars,elon,Dogelon Mars
secret,scrt,Secret
ontology,ont,Ontology
raydium,ray,Raydium
swissborg,chsb,SwissBorg
hive,hive,Hive
uma,uma,UMA
nervos-network,ckb,Nervos Network
perpetual-protocol,perp,Perpetual Protocol
neutrino,usdn,Neutrino USD
dydx,dydx,dYdX
kava,kava,Kava
digibyte,dgb,DigiByte
defi-kingdoms,jewel,DeFi Kingdoms
republic-protocol,ren,REN
skale,skl,SKALE
mobox,mbox,Mobox
frax-share,fxs,Frax Share
wazirx,wrx,WazirX
syscoin,sys,Syscoin
moonriver,movr,Moonriver
velas,vlx,Velas
golem,glm,Golem
nucypher,nu,NuCypher
serum,srm,Serum
mask-network,mask,Mask Network
flex-coin,flex,FLEX Coin
yield-guild-games,ygg,Yield Guild Games
polymath,poly,Polymath
energy-web-token,ewt,Energy Web Token
nano,xno,Nano
wink,win,WINkLink
boba-network,boba,Boba Network
reserve-rights-token,rsr,Reserve Rights Token
playdapp,pla,PlayDapp
tribe-2,tribe,Tribe
just,jst,JUST
origintrail,trac,OriginTrail
vulcan-forged,pyr,Vulcan Forged
celer-network,celr,Celer Network
fx-coin,fx,Function X
ultra,uos,Ultra
xyo-network,xyo,XYO Network
xsushi,xsushi,xSUSHI
starlink,starl,StarLink
hathor,htr,Hathor
coin98,c98,Coin98
rmrk,rmrk,RMRK
constellation-labs,dag,Constellation
zelcash,flux,Flux
injective-protocol,inj,Injective Protocol
lisk,lsk,Lisk
superfarm,super,SuperFarm
joe,joe,JOE
dao-maker,dao,DAO Maker
ocean-protocol,ocean,Ocean Protocol
persistence,xprt,Persistence
casper-network,cspr,Casper Network
jasmycoin,jasmy,JasmyCoin
pax-gold,paxg,PAX Gold
keep-network,keep,Keep Network
chromaway,chr,Chromia
fetch-ai,fet,Fetch.ai
cartesi,ctsi,Cartesi
anyswap,any,Anyswap
mdex,mdx,Mdex
dent,dent,Dent
husd,husd,HUSD
medibloc,med,Medibloc
sapphire,sapp,Sapphire
dvision-network,dvi,Dvision Network
coinex-token,cet,CoinEx Token
alchemix-usd,alusd,Alchemix USD
gemini-dollar,gusd,Gemini Dollar
alpha-finance,alpha,Alpha Finance
milk-alliance,mlk,MiL.k Alliance
titanswap,titan,TitanSwap
tether-gold,xaut,Tether Gold
request-network,req,Request
mirror-protocol,mir,Mirror Protocol
tokemak,toke,Tokemak
klima-dao,klima,Klima DAO
avalaunch,xava,Avalaunch
conflux-token,cfx,Conflux
swipe,sxp,Swipe
platon-network,lat,PlatON Network
status,SNT,Status
insure,sure,inSure DeFi
synapse-2,syn,Synapse
victoria-vr,vr,Victoria VR
seth,seth,sETH
biswap,bsw,Biswap
reef-finance,reef,Reef Finance
verge,xvg,Verge
coti,coti,COTI
origin-dollar,ousd,Origin Dollar
pundi-x-2,pundix,Pundi X
alien-worlds,tlm,Alien Worlds
